"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:17:17,9227769","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9228476","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","CreationTime: 14/07/2009 01:11:59, LastAccessTime: 14/07/2009 01:11:59, LastWriteTime: 14/07/2009 03:16:13, ChangeTime: 17/01/2024 12:14:15, FileAttributes: A"
"15:17:17,9228559","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS",""
"15:17:17,9229532","AdwereCleaner.exe","3984","CreateFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9230366","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\sechost.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:17,9230702","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\SysWOW64\sechost.dll","SUCCESS","SyncType: SyncTypeOther"
"15:17:17,9231552","AdwereCleaner.exe","3984","CloseFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS",""
"15:17:17,9242243","AdwereCleaner.exe","3984","CreateFile","C:\Users\user\Desktop\malware1\S10L2\AdwereCleaner.exe.Local","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:17:17,9244978","AdwereCleaner.exe","3984","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9246272","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af","SUCCESS","CreationTime: 21/11/2010 05:24:13, LastAccessTime: 21/11/2010 05:24:13, LastWriteTime: 21/11/2010 05:24:13, ChangeTime: 17/01/2024 12:15:08, FileAttributes: D"
"15:17:17,9246357","AdwereCleaner.exe","3984","CloseFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af","SUCCESS",""
"15:17:17,9247760","AdwereCleaner.exe","3984","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9249231","AdwereCleaner.exe","3984","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9260708","AdwereCleaner.exe","3984","QueryBasicInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll","SUCCESS","CreationTime: 21/11/2010 05:24:09, LastAccessTime: 21/11/2010 05:24:09, LastWriteTime: 21/11/2010 05:24:09, ChangeTime: 17/01/2024 12:14:03, FileAttributes: A"
"15:17:17,9260819","AdwereCleaner.exe","3984","CloseFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll","SUCCESS",""
"15:17:17,9261991","AdwereCleaner.exe","3984","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:17:17,9262241","AdwereCleaner.exe","3984","CreateFileMapping","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:17:17,9262340","AdwereCleaner.exe","3984","QueryStandardInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll","SUCCESS","AllocationSize: 532.480, EndOfFile: 530.432, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:17:17,9262860","AdwereCleaner.exe","3984","ReadFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_ec83dffa859149af\comctl32.dll","SUCCESS","Offset: 0, Length: 4.096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
